OrderID,OrderDate,ShipDate,Region,State,Category,Sub-Category,Quantity,UnitPrice,Discount,Sales,Cost,Profit,CustomerName,Segment,ShipMode,Year,Month,OrderWeek,DeliveryDays,ProfitMargin
ORD-2026-100011,2022-01-28,2022-01-31,South,Georgia,Technology,Copiers,4,667.06,0.1,2401.42,1670.01,731.41,Amanda West,Consumer,Standard Class,2022,2022-01,4,3,0.3045739604067593
ORD-2024-100012,2023-10-11,2023-10-14,East,Massachusetts,Office Supplies,Storage,4,16.49,0.0,65.96,32.52,33.44,Selena Frost,Home Office,Standard Class,2023,2023-10,41,3,0.5069739235900546
ORD-2025-100013,2023-01-21,2023-01-26,East,New York,Technology,Computers,3,740.13,0.0,2220.39,1251.42,968.97,Aaron Dominguez,Consumer,Same Day,2023,2023-01,3,5,0.4363963087565698
ORD-2026-100014,2023-02-20,2023-02-23,Central,Ohio,Office Supplies,Binders,4,19.38,0.0,77.52,33.61,43.91,Alexandra Atkinson,Corporate,Standard Class,2023,2023-02,8,3,0.5664344685242518
ORD-2024-100015,2022-11-22,2022-11-25,Central,Michigan,Office Supplies,Storage,1,16.28,0.05,15.47,7.15,8.32,Traci Griffin,Corporate,Standard Class,2022,2022-11,47,3,0.5378151260504201
ORD-2025-100016,2022-12-04,2022-12-09,Central,Michigan,Technology,Accessories,5,705.76,0.0,3528.8,2106.97,1421.83,Alexander Valdez,Consumer,Standard Class,2022,2022-12,48,5,0.4029216730900022
ORD-2026-100017,2023-10-14,2023-10-17,South,North Carolina,Furniture,Bookcases,6,256.79,0.0,1540.74,922.04,618.7,Lisa Bishop,Corporate,Standard Class,2023,2023-10,41,3,0.4015602892116775
ORD-2024-100018,2024-06-14,2024-06-17,West,Washington,Office Supplies,Binders,3,22.03,0.0,66.09,31.58,34.51,Megan Wolf,Corporate,First Class,2024,2024-06,24,3,0.5221667423210773
ORD-2025-100019,2023-02-05,2023-02-08,South,Tennessee,Office Supplies,Paper,2,19.81,0.15,33.68,18.63,15.05,Mario Sloan,Corporate,Standard Class,2023,2023-02,5,3,0.44685273159144895
ORD-2026-100020,2022-10-11,2022-10-14,East,New York,Furniture,Furnishings,2,260.23,0.05,494.44,315.12,179.32,Eric Ford,Home Office,Same Day,2022,2022-10,41,3,0.3626729229026778
ORD-2024-100021,2023-01-08,2023-01-13,South,Florida,Technology,Phones,5,787.83,0.0,3939.15,2228.56,1710.59,Teresa Conway DVM,Corporate,First Class,2023,2023-01,1,5,0.4342535826256933
ORD-2025-100022,2023-07-24,2023-07-31,West,Nevada,Furniture,Tables,3,239.74,0.15,611.34,473.17,138.17,Kevin Thomas,Corporate,Second Class,2023,2023-07,30,7,0.2260117119769686
ORD-2026-100023,2022-06-25,2022-06-28,West,Oregon,Office Supplies,Paper,6,22.29,0.15,113.68,60.23,53.45,Luke Walsh,Consumer,Standard Class,2022,2022-06,25,3,0.47017945109078113
ORD-2024-100024,2023-12-28,2023-12-31,Central,Texas,Furniture,Chairs,3,269.54,0.0,808.62,538.14,270.48,Sharon Guerrero,Consumer,Standard Class,2023,2023-12,52,3,0.33449580767233067
ORD-2025-100025,2024-09-19,2024-09-24,South,Tennessee,Technology,Computers,1,703.83,0.0,703.83,426.84,276.99,James Stevens,Corporate,Same Day,2024,2024-09,38,5,0.3935467371382294
ORD-2026-100026,2023-09-28,2023-10-03,Central,Texas,Office Supplies,Labels,2,18.44,0.0,36.88,18.16,18.72,Philip Adams,Corporate,Second Class,2023,2023-09,39,5,0.5075921908893709
ORD-2024-100027,2023-10-03,2023-10-05,East,Massachusetts,Office Supplies,Paper,1,20.65,0.05,19.62,9.44,10.18,Michael Brennan,Corporate,Standard Class,2023,2023-10,40,2,0.5188583078491334
ORD-2025-100028,2022-06-03,2022-06-06,East,New Jersey,Furniture,Chairs,1,317.34,0.0,317.34,196.1,121.24,Haley Brandt,Home Office,Standard Class,2022,2022-06,22,3,0.38205079725215857
ORD-2026-100029,2024-06-30,2024-07-02,South,Florida,Office Supplies,Binders,3,20.0,0.0,60.0,28.42,31.58,April Rodriguez,Corporate,First Class,2024,2024-06,26,2,0.5263333333333333
ORD-2024-100030,2022-09-15,2022-09-16,South,Tennessee,Technology,Copiers,3,763.5,0.1,2061.45,1425.6,635.85,Adam Harris,Corporate,First Class,2022,2022-09,37,1,0.3084479371316307
ORD-2025-100031,2022-06-17,2022-06-24,South,Florida,Furniture,Tables,2,203.69,0.05,387.01,254.55,132.46,Jessica Vasquez,Corporate,Standard Class,2022,2022-06,24,7,0.34226505775044574
ORD-2026-100032,2022-04-25,2022-04-28,South,Georgia,Office Supplies,Binders,2,22.68,0.0,45.36,22.35,23.01,Joshua Wright,Consumer,Standard Class,2022,2022-04,17,3,0.5072751322751323
ORD-2024-100033,2024-07-08,2024-07-13,East,Massachusetts,Office Supplies,Paper,3,16.32,0.05,46.51,23.38,23.13,Joshua Garcia,Consumer,Standard Class,2024,2024-07,28,5,0.4973124059342077
ORD-2025-100034,2024-05-30,2024-06-02,South,Florida,Office Supplies,Labels,1,20.87,0.0,20.87,10.27,10.6,Jody Contreras,Corporate,Standard Class,2024,2024-05,22,3,0.5079060852898898
ORD-2026-100035,2024-03-06,2024-03-13,South,Tennessee,Office Supplies,Labels,1,20.48,0.0,20.48,9.05,11.43,Lisa York,Home Office,Second Class,2024,2024-03,10,7,0.55810546875
ORD-2024-100036,2022-02-08,2022-02-10,West,Washington,Furniture,Tables,1,225.86,0.05,214.57,144.5,70.07,Antonio Johnson,Corporate,Same Day,2022,2022-02,6,2,0.32656009693806215
ORD-2025-100037,2022-01-09,2022-01-14,South,Florida,Furniture,Tables,2,276.59,0.0,553.18,352.23,200.95,Gary Peterson,Consumer,Standard Class,2022,2022-01,1,5,0.36326331393036626
ORD-2026-100038,2022-12-31,2023-01-03,South,Florida,Technology,Phones,4,680.37,0.0,2721.48,1666.48,1055.0,Pamela Burke,Consumer,Standard Class,2022,2022-12,52,3,0.38765671619853903
ORD-2024-100039,2022-05-06,2022-05-09,East,New Jersey,Office Supplies,Paper,6,18.68,0.0,112.08,51.91,60.17,Amber Lane,Consumer,First Class,2022,2022-05,18,3,0.5368486795146324
ORD-2025-100040,2023-11-16,2023-11-23,East,Massachusetts,Technology,Accessories,5,493.43,0.0,2467.15,1405.94,1061.21,Frank Arnold,Consumer,Same Day,2023,2023-11,46,7,0.43013598686743815
ORD-2026-100041,2023-07-20,2023-07-23,South,North Carolina,Furniture,Furnishings,2,223.73,0.0,447.46,270.61,176.85,Crystal Orozco,Corporate,Standard Class,2023,2023-07,29,3,0.39523085862423457
ORD-2024-100042,2022-11-12,2022-11-15,South,Florida,Technology,Copiers,2,680.27,0.0,1360.54,798.33,562.21,Scott Garcia,Corporate,Standard Class,2022,2022-11,45,3,0.41322563099945614
ORD-2025-100043,2024-06-27,2024-07-04,East,New Jersey,Technology,Copiers,3,711.93,0.0,2135.79,1253.24,882.55,Julie Bradley,Corporate,Standard Class,2024,2024-06,26,7,0.41321946446045726
ORD-2026-100044,2022-08-27,2022-08-29,East,New Jersey,Office Supplies,Paper,3,22.49,0.0,67.47,29.45,38.02,Ryan Stokes,Consumer,Standard Class,2022,2022-08,34,2,0.5635097080183786
ORD-2024-100045,2023-04-21,2023-04-26,Central,Texas,Technology,Phones,4,637.87,0.0,2551.48,1466.85,1084.63,Catherine Kim,Consumer,First Class,2023,2023-04,16,5,0.4250983742768903
ORD-2025-100046,2023-05-03,2023-05-06,South,North Carolina,Furniture,Chairs,4,230.52,0.1,829.87,626.11,203.76,Austin Ruiz,Consumer,Second Class,2023,2023-05,18,3,0.24553243279067805
ORD-2026-100047,2023-02-05,2023-02-07,Central,Ohio,Technology,Phones,7,627.04,0.05,4169.82,2627.55,1542.27,Lacey Palmer,Consumer,First Class,2023,2023-02,5,2,0.3698648862540829
ORD-2024-100048,2023-06-26,2023-06-29,Central,Texas,Technology,Copiers,4,709.78,0.0,2839.12,1717.7,1121.42,Sergio Stephens,Consumer,Standard Class,2023,2023-06,26,3,0.3949885880131872
ORD-2025-100049,2022-02-12,2022-02-15,Central,Ohio,Furniture,Tables,4,227.43,0.15,773.26,579.42,193.84,Joanne Boyd DDS,Home Office,Second Class,2022,2022-02,6,3,0.2506789436929364
ORD-2026-100050,2022-02-20,2022-02-21,East,New Jersey,Office Supplies,Binders,1,24.02,0.0,24.02,11.14,12.88,Paula Reese,Consumer,First Class,2022,2022-02,7,1,0.5362198168193173
ORD-2024-100051,2024-08-02,2024-08-05,East,Massachusetts,Furniture,Bookcases,4,255.34,0.0,1021.36,689.35,332.01,Thomas Murphy,Consumer,Second Class,2024,2024-08,31,3,0.32506657789613846
ORD-2025-100052,2022-03-19,2022-03-22,East,New Jersey,Furniture,Furnishings,1,251.07,0.05,238.52,167.6,70.92,Barry Knight,Corporate,Standard Class,2022,2022-03,11,3,0.297333556934429
ORD-2026-100053,2022-10-01,2022-10-04,Central,Ohio,Furniture,Bookcases,2,285.69,0.0,571.38,364.99,206.39,Kelly Rivera,Consumer,Standard Class,2022,2022-10,39,3,0.36121320312226535
ORD-2024-100054,2022-01-25,2022-01-28,Central,Texas,Office Supplies,Labels,5,20.54,0.0,102.7,46.24,56.46,Bryan Pugh,Home Office,Second Class,2022,2022-01,4,3,0.5497565725413827
ORD-2025-100055,2023-03-19,2023-03-22,East,New Jersey,Office Supplies,Binders,1,18.52,0.0,18.52,8.98,9.54,Cameron Flynn,Consumer,First Class,2023,2023-03,11,3,0.5151187904967602
ORD-2026-100056,2023-10-26,2023-10-31,Central,Ohio,Office Supplies,Storage,6,16.98,0.2,81.5,46.93,34.57,Susan Ingram,Corporate,First Class,2023,2023-10,43,5,0.4241717791411043
ORD-2024-100057,2022-07-13,2022-07-16,South,Georgia,Office Supplies,Storage,4,20.52,0.05,77.98,39.34,38.64,Kathleen Baker,Consumer,Standard Class,2022,2022-07,28,3,0.4955116696588869
ORD-2025-100058,2023-05-26,2023-05-29,Central,Ohio,Furniture,Chairs,4,301.27,0.05,1144.83,719.64,425.19,Vincent Lewis,Consumer,Standard Class,2023,2023-05,21,3,0.37140012054191457
ORD-2026-100059,2024-02-16,2024-02-19,South,Georgia,Office Supplies,Paper,1,21.08,0.0,21.08,10.34,10.74,Anne Robinson,Home Office,Standard Class,2024,2024-02,7,3,0.5094876660341556
ORD-2024-100060,2024-09-21,2024-09-23,South,Tennessee,Office Supplies,Storage,6,21.55,0.0,129.3,60.81,68.49,Tiffany Johnson,Home Office,Standard Class,2024,2024-09,38,2,0.5296983758700695
ORD-2025-100061,2022-02-11,2022-02-14,South,Tennessee,Office Supplies,Paper,4,15.53,0.0,62.12,28.79,33.33,Michael Wilson,Consumer,Standard Class,2022,2022-02,6,3,0.5365421764327108
ORD-2026-100062,2022-02-08,2022-02-10,West,Oregon,Office Supplies,Storage,2,22.39,0.15,38.06,20.64,17.42,Jonathan Miranda,Corporate,Standard Class,2022,2022-02,6,2,0.4576983709931687
ORD-2024-100063,2022-06-06,2022-06-08,East,New York,Furniture,Tables,2,248.45,0.1,447.21,297.43,149.78,Margaret Wiggins,Consumer,Standard Class,2022,2022-06,23,2,0.33492095436148567
ORD-2025-100064,2024-05-26,2024-05-28,South,North Carolina,Technology,Phones,4,854.64,0.0,3418.56,2051.82,1366.74,Brooke Martinez,Corporate,Standard Class,2024,2024-05,21,2,0.3997999157540017
ORD-2026-100065,2023-10-22,2023-10-24,West,Nevada,Office Supplies,Storage,2,21.83,0.0,43.66,18.96,24.7,Shelley Newton,Consumer,Second Class,2023,2023-10,42,2,0.5657352267521759
ORD-2024-100066,2023-11-14,2023-11-21,South,Tennessee,Office Supplies,Storage,1,20.51,0.05,19.48,9.84,9.64,Jacob Harris,Consumer,Standard Class,2023,2023-11,46,7,0.4948665297741273
ORD-2025-100067,2022-02-20,2022-02-25,South,Florida,Technology,Computers,1,647.3,0.0,647.3,403.83,243.47,Herbert Phillips,Consumer,Standard Class,2022,2022-02,7,5,0.3761316236675421
ORD-2026-100068,2023-01-06,2023-01-09,East,Massachusetts,Furniture,Bookcases,3,235.14,0.0,705.42,442.69,262.73,Laura Collins,Home Office,First Class,2023,2023-01,1,3,0.3724447846672905
ORD-2024-100069,2024-06-21,2024-06-24,West,Oregon,Office Supplies,Labels,1,19.54,0.0,19.54,8.57,10.97,Laura Raymond,Consumer,Standard Class,2024,2024-06,25,3,0.5614124872057319
ORD-2025-100070,2022-10-12,2022-10-15,West,Washington,Furniture,Bookcases,4,259.39,0.1,933.8,662.75,271.05,William George,Consumer,Standard Class,2022,2022-10,41,3,0.29026558149496684
ORD-2026-100071,2024-01-06,2024-01-08,Central,Ohio,Furniture,Tables,3,282.58,0.0,847.74,522.5,325.24,Wanda Rodriguez,Corporate,Standard Class,2024,2024-01,1,2,0.38365536603203815
ORD-2024-100072,2023-05-17,2023-05-20,West,Washington,Office Supplies,Labels,1,19.05,0.0,19.05,8.24,10.81,Timothy Wilson,Corporate,Standard Class,2023,2023-05,20,3,0.5674540682414698
ORD-2025-100073,2024-09-05,2024-09-08,South,Florida,Furniture,Furnishings,5,250.77,0.0,1253.85,778.08,475.77,Sierra Jackson,Corporate,First Class,2024,2024-09,36,3,0.3794473023088886
ORD-2026-100074,2023-08-27,2023-08-30,West,Oregon,Furniture,Chairs,5,207.67,0.0,1038.35,642.87,395.48,Melanie Anderson,Consumer,Second Class,2023,2023-08,34,3,0.3808735012279097
ORD-2024-100075,2023-11-04,2023-11-07,Central,Michigan,Furniture,Furnishings,5,236.24,0.0,1181.2,786.98,394.22,Arthur Baker,Consumer,Second Class,2023,2023-11,44,3,0.33374534371825265
ORD-2025-100076,2024-06-23,2024-06-26,South,North Carolina,Technology,Accessories,2,791.44,0.0,1582.88,1007.86,575.02,Dr. Kim Brown,Consumer,Standard Class,2024,2024-06,25,3,0.3632745375518043
ORD-2026-100077,2024-05-31,2024-06-01,West,California,Office Supplies,Binders,2,17.6,0.0,35.2,17.19,18.01,Billy Boone,Corporate,Second Class,2024,2024-05,22,1,0.5116477272727272
ORD-2024-100078,2024-04-17,2024-04-24,East,New Jersey,Office Supplies,Paper,1,24.45,0.0,24.45,11.27,13.18,Thomas Allen,Corporate,Standard Class,2024,2024-04,16,7,0.5390593047034765
ORD-2025-100079,2022-12-08,2022-12-10,East,Massachusetts,Technology,Copiers,3,799.64,0.0,2398.92,1482.7,916.22,James Pierce,Consumer,Standard Class,2022,2022-12,49,2,0.38193020192419924
ORD-2026-100080,2024-04-01,2024-04-06,Central,Texas,Office Supplies,Paper,1,20.62,0.1,18.56,9.42,9.14,Maria Cooper MD,Home Office,Second Class,2024,2024-04,14,5,0.4924568965517242
ORD-2024-100081,2024-01-14,2024-01-17,West,Oregon,Office Supplies,Paper,1,15.79,0.0,15.79,6.92,8.87,Adam Owen,Corporate,First Class,2024,2024-01,2,3,0.5617479417352754
ORD-2025-100082,2023-05-22,2023-05-25,West,California,Technology,Phones,2,689.59,0.0,1379.18,844.51,534.67,Nicholas Anderson,Corporate,Standard Class,2023,2023-05,21,3,0.38767238504038626
ORD-2026-100083,2024-03-13,2024-03-18,East,Pennsylvania,Office Supplies,Paper,1,19.26,0.1,17.33,9.48,7.85,Amber Munoz,Corporate,Second Class,2024,2024-03,11,5,0.4529717253317946
ORD-2024-100084,2023-05-12,2023-05-14,West,Nevada,Technology,Copiers,7,644.65,0.05,4286.92,2506.67,1780.25,Steven Ross,Corporate,Standard Class,2023,2023-05,19,2,0.41527483601280174
ORD-2025-100085,2022-01-16,2022-01-23,Central,Illinois,Office Supplies,Paper,2,18.03,0.0,36.06,16.44,19.62,Michael Harris,Corporate,Second Class,2022,2022-01,2,7,0.5440931780366056
ORD-2026-100086,2023-01-07,2023-01-12,West,Oregon,Technology,Phones,3,751.72,0.0,2255.16,1416.23,838.93,Kevin Mitchell,Consumer,Standard Class,2023,2023-01,1,5,0.3720046471203817
ORD-2024-100087,2024-09-09,2024-09-11,Central,Michigan,Office Supplies,Binders,4,19.48,0.0,77.92,38.52,39.4,Karen Carpenter,Consumer,Standard Class,2024,2024-09,37,2,0.50564681724846
ORD-2025-100088,2022-10-01,2022-10-08,Central,Ohio,Technology,Copiers,1,783.65,0.0,783.65,434.35,349.3,Richard Dyer,Consumer,Standard Class,2022,2022-10,39,7,0.44573470299240736
ORD-2026-100089,2024-01-18,2024-01-25,West,Washington,Office Supplies,Labels,3,15.53,0.1,41.93,22.17,19.76,Tina Knight,Corporate,Standard Class,2024,2024-01,3,7,0.47126162652039116
ORD-2024-100090,2024-08-06,2024-08-13,East,Massachusetts,Office Supplies,Storage,1,19.28,0.2,15.42,9.28,6.14,David Chang,Consumer,Standard Class,2024,2024-08,32,7,0.3981841763942931
ORD-2025-100091,2024-03-17,2024-03-22,West,Nevada,Office Supplies,Binders,3,22.73,0.0,68.19,32.97,35.22,Erica Jackson,Consumer,Standard Class,2024,2024-03,11,5,0.5164980202375715
ORD-2026-100092,2024-04-04,2024-04-07,East,New Jersey,Technology,Accessories,3,672.15,0.0,2016.45,1215.84,800.61,Benjamin Conley,Consumer,Standard Class,2024,2024-04,14,3,0.3970393513352674
ORD-2024-100093,2023-02-23,2023-02-28,West,California,Furniture,Furnishings,4,182.63,0.0,730.52,462.66,267.86,Jamie Figueroa,Consumer,First Class,2023,2023-02,8,5,0.36667031703444125
ORD-2025-100094,2022-06-19,2022-06-24,South,Florida,Office Supplies,Labels,2,17.89,0.0,35.78,16.98,18.8,Natasha Delgado,Consumer,Standard Class,2022,2022-06,24,5,0.5254332029066517
ORD-2026-100095,2022-02-06,2022-02-09,East,Pennsylvania,Furniture,Bookcases,1,251.3,0.15,213.61,161.37,52.24,Robert Smith,Corporate,Standard Class,2022,2022-02,5,3,0.2445578390524788
ORD-2024-100096,2024-08-30,2024-09-02,West,Nevada,Technology,Copiers,2,786.56,0.0,1573.12,912.5,660.62,Melissa Cooley,Consumer,First Class,2024,2024-08,35,3,0.41994253458096015
ORD-2025-100097,2022-12-22,2022-12-25,West,Nevada,Furniture,Tables,4,233.74,0.15,794.72,550.79,243.93,Paul Buck,Corporate,Second Class,2022,2022-12,51,3,0.3069382927320314
ORD-2026-100098,2023-06-08,2023-06-09,South,Florida,Office Supplies,Binders,2,21.53,0.0,43.06,18.43,24.63,Ashley Bender,Corporate,Standard Class,2023,2023-06,23,1,0.5719925685090571
ORD-2024-100099,2023-04-12,2023-04-17,West,California,Technology,Computers,2,764.72,0.0,1529.44,945.29,584.15,Brianna Martin,Home Office,Standard Class,2023,2023-04,15,5,0.38193717962129925
ORD-2025-100100,2023-06-08,2023-06-10,West,Washington,Office Supplies,Paper,1,21.62,0.1,19.46,10.69,8.77,Jennifer Moore,Corporate,Standard Class,2023,2023-06,23,2,0.45066803699897223
ORD-2026-100101,2024-02-02,2024-02-04,East,Pennsylvania,Furniture,Tables,4,270.35,0.0,1081.4,722.85,358.55,Alex Berg,Consumer,First Class,2024,2024-02,5,2,0.33156093952284077
ORD-2024-100102,2022-03-16,2022-03-19,West,Oregon,Office Supplies,Paper,1,19.88,0.1,17.89,9.79,8.1,Jessica Smith,Consumer,Second Class,2022,2022-03,11,3,0.4527669088876467
ORD-2025-100103,2022-10-30,2022-11-02,Central,Michigan,Office Supplies,Binders,3,22.26,0.0,66.78,32.46,34.32,Billy Guzman,Corporate,Standard Class,2022,2022-10,43,3,0.5139263252470799
ORD-2026-100104,2023-05-07,2023-05-10,South,Tennessee,Furniture,Bookcases,1,275.8,0.0,275.8,174.08,101.72,Charles Nash,Consumer,Standard Class,2023,2023-05,18,3,0.3688179840464104
ORD-2024-100105,2022-12-15,2022-12-17,East,Pennsylvania,Technology,Computers,2,580.21,0.0,1160.42,662.16,498.26,Robin Davis,Consumer,Second Class,2022,2022-12,50,2,0.4293790179417797
ORD-2025-100106,2023-05-16,2023-05-19,South,Tennessee,Office Supplies,Binders,2,21.45,0.05,40.75,19.49,21.26,Jordan Valdez,Home Office,Second Class,2023,2023-05,20,3,0.521717791411043
ORD-2026-100107,2022-01-11,2022-01-14,East,Pennsylvania,Technology,Copiers,3,713.67,0.0,2141.01,1269.54,871.47,Patricia Watkins,Consumer,Standard Class,2022,2022-01,2,3,0.4070368657783009
ORD-2024-100108,2024-07-24,2024-07-25,South,Florida,Office Supplies,Binders,2,17.81,0.1,32.06,16.09,15.97,Catherine Adams,Consumer,Same Day,2024,2024-07,30,1,0.4981285090455396
ORD-2025-100109,2022-03-31,2022-04-03,West,Oregon,Furniture,Tables,3,256.32,0.05,730.51,496.75,233.76,Amy Dodson,Consumer,First Class,2022,2022-03,13,3,0.31999561949870636
ORD-2026-100110,2024-04-19,2024-04-24,West,Nevada,Office Supplies,Labels,4,22.11,0.1,79.6,40.68,38.92,Anna Paul,Consumer,Standard Class,2024,2024-04,16,5,0.4889447236180905
ORD-2024-100111,2022-01-14,2022-01-16,West,Nevada,Furniture,Bookcases,3,300.15,0.15,765.38,566.68,198.7,Frank Johnson,Consumer,Standard Class,2022,2022-01,2,2,0.25960960568606445
ORD-2025-100112,2024-08-23,2024-08-28,West,California,Technology,Phones,2,682.86,0.0,1365.72,778.72,587.0,Jennifer Turner,Consumer,Standard Class,2024,2024-08,34,5,0.4298099171133175
ORD-2026-100113,2024-06-21,2024-06-24,West,California,Technology,Phones,6,917.86,0.0,5507.16,3223.95,2283.21,Travis Hardy,Corporate,Standard Class,2024,2024-06,25,3,0.4145893709280283
ORD-2024-100114,2024-07-20,2024-07-23,West,Oregon,Office Supplies,Paper,3,20.99,0.1,56.67,27.92,28.75,Phillip Taylor,Corporate,Standard Class,2024,2024-07,29,3,0.5073230986412564
ORD-2025-100115,2023-04-23,2023-04-25,South,Georgia,Technology,Computers,2,624.92,0.0,1249.84,753.13,496.71,Joy Hernandez,Corporate,Second Class,2023,2023-04,16,2,0.39741886961531075
ORD-2026-100116,2024-01-13,2024-01-15,Central,Texas,Technology,Accessories,2,688.28,0.0,1376.56,830.19,546.37,William Mckinney,Consumer,Standard Class,2024,2024-01,2,2,0.3969096879177079
ORD-2024-100117,2022-10-14,2022-10-17,Central,Illinois,Furniture,Chairs,3,315.69,0.15,805.01,580.07,224.94,Renee Hanson,Consumer,Standard Class,2022,2022-10,41,3,0.27942510030931295
ORD-2025-100118,2022-04-17,2022-04-22,East,Pennsylvania,Office Supplies,Binders,5,16.98,0.0,84.9,41.95,42.95,Amber Wilson,Consumer,Standard Class,2022,2022-04,15,5,0.5058892815076561
ORD-2026-100119,2022-10-09,2022-10-10,Central,Ohio,Office Supplies,Binders,1,20.46,0.05,19.44,9.3,10.14,Tyler Hughes,Consumer,Second Class,2022,2022-10,40,1,0.5216049382716049
ORD-2024-100120,2022-05-06,2022-05-13,West,California,Technology,Computers,2,624.86,0.0,1249.72,746.46,503.26,Austin Williams,Consumer,Standard Class,2022,2022-05,18,7,0.4026982043977851
ORD-2025-100121,2022-11-04,2022-11-09,West,Nevada,Office Supplies,Paper,3,21.93,0.2,52.63,29.79,22.84,Jeffery Burns,Consumer,Standard Class,2022,2022-11,44,5,0.4339730191905757
ORD-2026-100122,2023-06-22,2023-06-27,South,Florida,Furniture,Furnishings,7,213.43,0.0,1494.01,902.1,591.91,James Hays,Corporate,Standard Class,2023,2023-06,25,5,0.3961887805302508
ORD-2024-100123,2022-06-10,2022-06-13,South,Florida,Technology,Phones,2,802.75,0.15,1364.67,945.83,418.84,Dana Banks,Home Office,First Class,2022,2022-06,23,3,0.306916690481948
ORD-2025-100124,2022-10-06,2022-10-09,Central,Texas,Furniture,Chairs,3,270.83,0.05,771.87,521.13,250.74,Melissa Romero,Consumer,Standard Class,2022,2022-10,40,3,0.32484744840452406
ORD-2026-100125,2023-02-21,2023-02-24,East,Massachusetts,Furniture,Chairs,2,288.08,0.0,576.16,368.42,207.74,Charles Maynard,Home Office,First Class,2023,2023-02,8,3,0.3605595667870036
ORD-2024-100126,2024-07-12,2024-07-13,West,California,Office Supplies,Paper,2,21.67,0.0,43.34,19.68,23.66,Nancy Simon,Consumer,Second Class,2024,2024-07,28,1,0.545916012921089
ORD-2025-100127,2022-12-30,2023-01-06,East,New York,Furniture,Tables,2,253.88,0.0,507.76,308.38,199.38,Ricky Ramirez,Consumer,Standard Class,2022,2022-12,52,7,0.3926658263746652
ORD-2026-100128,2022-11-30,2022-12-03,South,Florida,Office Supplies,Labels,4,20.91,0.05,79.46,38.01,41.45,Michael Pitts,Home Office,First Class,2022,2022-11,48,3,0.521646111250944
ORD-2024-100129,2022-12-16,2022-12-18,Central,Michigan,Furniture,Bookcases,2,233.0,0.15,396.1,292.87,103.23,Autumn Fitzgerald,Consumer,First Class,2022,2022-12,50,2,0.260616006059076
ORD-2025-100130,2022-06-21,2022-06-22,West,Oregon,Technology,Computers,5,744.38,0.0,3721.9,2167.59,1554.31,Richard Taylor,Home Office,Second Class,2022,2022-06,25,1,0.4176119723796985
ORD-2026-100131,2022-02-18,2022-02-21,East,Pennsylvania,Office Supplies,Labels,5,17.26,0.0,86.3,41.96,44.34,Justin Anderson,Consumer,Standard Class,2022,2022-02,7,3,0.5137891077636153
ORD-2024-100132,2023-10-24,2023-10-25,Central,Ohio,Office Supplies,Storage,3,19.4,0.0,58.2,25.44,32.76,Mary Vega,Consumer,Standard Class,2023,2023-10,43,1,0.5628865979381442
ORD-2025-100133,2023-10-20,2023-10-23,West,California,Technology,Phones,1,787.58,0.05,748.2,457.06,291.14,Kelsey Jones,Home Office,Second Class,2023,2023-10,42,3,0.3891205560010692
